11292,14771,"Denver, CO","San Francisco, CA",967,6700,167,R167
11292,14908,"Denver, CO","Santa Ana, CA",846,6700,168,R168
11292,15041,"Denver, CO","Sun Valley/Hailey/Ketchum, ID",557,6700,169,R169
11298,11109,"Dallas/Fort Worth, TX","Colorado Springs, CO",592,6700,170,R170
11921,12892,"Grand Junction, CO","Los Angeles, CA",655,6700,171,R171
12266,11292,"Houston, TX","Denver, CO",862,6700,172,R172
12441,11292,"Jackson, WY","Denver, CO",406,6700,173,R173
12888,11292,"Laramie, WY","Denver, CO",113,6700,174,R174
12892,11292,"Los Angeles, CA","Denver, CO",862,6700,175,R175
12992,11292,"Little Rock, AR","Denver, CO",771,6700,176,R176
13264,11292,"Medford, OR","Denver, CO",964,6700,177,R177
13486,11109,"Missoula, MT","Colorado Springs, CO",734,6700,178,R178
13930,11292,"Chicago, IL","Denver, CO",888,6700,179,R179
14057,11292,"Portland, OR","Denver, CO",991,6700,180,R180
14252,11921,"Pasco/Kennewick/Richland, WA","Grand Junction, CO",730,6700,181,R181
14679,11292,"San Diego, CA","Denver, CO",853,6700,182,R182
14683,11292,"San Antonio, TX","Denver, CO",794,6700,183,R183
14794,11109,"St. George, UT","Colorado Springs, CO",496,6700,184,R184
14893,11292,"Sacramento, CA","Denver, CO",909,6700,185,R185
14908,11292,"Santa Ana, CA","Denver, CO",846,6700,186,R186
10140,11292,"Albuquerque, NM","Denver, CO",349,0A875,187,R187
10529,11292,"Hartford, CT","Denver, CO",1671,0A875,188,R188
10721,11292,"Boston, MA","Denver, CO",1754,0A875,189,R189
10849,11292,"Bozeman, MT","Denver, CO",524,0A875,190,R190
11292,10140,"Denver, CO","Albuquerque, NM",349,0A875,191,R191
11292,10620,"Denver, CO","Billings, MT",455,0A875,192,R192
11292,10721,"Denver, CO","Boston, MA",1754,0A875,193,R193
11292,10849,"Denver, CO","Bozeman, MT",524,0A875,194,R194
11292,11193,"Denver, CO","Cincinnati, OH",1069,0A875,195,R195
11292,11433,"Denver, CO","Detroit, MI",1123,0A875,196,R196
11292,11697,"Denver, CO","Fort Lauderdale, FL",1703,0A875,197,R197
11292,12264,"Denver, CO","Washington, DC",1452,0A875,198,R198
11292,12266,"Denver, CO","Houston, TX",862,0A875,199,R199
11292,12889,"Denver, CO","Las Vegas, NV",628,0A875,200,R200
11292,13198,"Denver, CO","Kansas City, MO",533,0A875,201,R201
11292,13204,"Denver, CO","Orlando, FL",1546,0A875,202,R202
11292,13930,"Denver, CO","Chicago, IL",888,0A875,203,R203
11292,14100,"Denver, CO","Philadelphia, PA",1558,0A875,204,R204
11292,14262,"Denver, CO","Palm Springs, CA",776,0A875,205,R205
11292,14524,"Denver, CO","Richmond, VA",1482,0A875,206,R206
11292,14570,"Denver, CO","Reno, NV",804,0A875,207,R207
11292,14869,"Denver, CO","Salt Lake City, UT",391,0A875,208,R208
11292,15016,"Denver, CO","St. Louis, MO",770,0A875,209,R209
