DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,1,49760,199,160,28,0,680,142,101,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,622,1,2017,2,6,2,F
0,1,38170,158,156,0,226,495,115,76,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,656,1,2017,2,6,1,F
0,2,99520,144,61,0,0,967,280,229,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,622,1,2017,2,6,2,L
0,1,49760,72,52,0,0,391,84,53,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,3,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,622,1,2017,2,6,1,L
0,1,42500,173,0,0,0,1671,275,255,GL,20402,Miami Air International,6690,D,GL,Miami Air International,2,2,10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,614,1,2017,2,6,4,L
0,1,42500,173,0,0,0,1136,160,140,GL,20402,Miami Air International,6690,D,GL,Miami Air International,2,2,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,16091,1609103,31295,YIP,"Detroit, MI",MI,26,Michigan,43,6,614,1,2017,2,6,3,L
0,1,42500,173,27,0,0,954,150,120,GL,20402,Miami Air International,6690,D,GL,Miami Air International,2,2,13796,1379604,32457,OAK,"Oakland, CA",CA,6,California,91,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,6,614,1,2017,2,6,2,L
0,1,34279,128,126,4,0,150,48,36,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,10558,1055803,30558,BFF,"Scottsbluff, NE",NE,31,Nebraska,65,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,698,1,2017,2,6,1,F
0,1,41006,166,70,10064,0,1201,168,151,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11042,1104203,30647,CLE,"Cleveland, OH",OH,39,Ohio,44,6,614,1,2017,2,6,3,L
0,1,38700,166,152,0,282,967,218,190,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12448,1244805,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,6,614,1,2017,2,6,2,F
0,1,34771,128,122,1,0,862,144,116,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12892,1289205,32575,LAX,"Los Angeles, CA",CA,6,California,91,6,698,1,2017,2,6,2,F
0,1,35906,179,174,0,0,1709,298,270,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,6,634,1,2017,2,6,4,F
0,1,36926,166,163,0,0,1482,249,217,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,6,614,1,2017,2,6,3,F
0,1,40581,179,58,10064,0,541,86,79,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,3,13341,1334102,33198,MKC,"Kansas City, MO",MO,29,Missouri,64,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,6,634,1,2017,2,6,2,L
