Origin_City_Market_ID,Origin_City_Name,Dest_City_Market_ID,Dest_City_Name
30977,"Chicago, IL",30372,"Aspen, CO"
30299,"Anchorage, AK",30325,"Denver, CO"
34120,"Pierre, SD",30325,"Denver, CO"
30372,"Aspen, CO",30977,"Chicago, IL"
30325,"Denver, CO",32255,"Hays, KS"
30325,"Denver, CO",32519,"Jamestown, ND"
30325,"Denver, CO",32888,"Laramie, WY"
32255,"Hays, KS",30325,"Denver, CO"
30221,"Alliance, NE",30325,"Denver, CO"
30925,"Chadron, NE",30325,"Denver, CO"
30325,"Denver, CO",30221,"Alliance, NE"
30325,"Denver, CO",30925,"Chadron, NE"
30325,"Denver, CO",33200,"McCook, NE"
30325,"Denver, CO",35582,"Vernal, UT"
33200,"McCook, NE",30325,"Denver, CO"
35582,"Vernal, UT",30325,"Denver, CO"
30325,"Denver, CO",30299,"Anchorage, AK"
30325,"Denver, CO",30561,"Bakersfield, CA"
30325,"Denver, CO",31865,"Gillette, WY"
30325,"Denver, CO",34543,"Rock Springs, WY"
31865,"Gillette, WY",30325,"Denver, CO"
34543,"Rock Springs, WY",30325,"Denver, CO"
31092,"Moab, UT",30325,"Denver, CO"
30325,"Denver, CO",31092,"Moab, UT"
30189,"Colorado Springs, CO",34614,"Salt Lake City, UT"
32575,"Los Angeles, CA",30372,"Aspen, CO"
34252,"Pasco/Kennewick/Richland, WA",30325,"Denver, CO"
34794,"St. George, UT",30325,"Denver, CO"
30372,"Aspen, CO",32575,"Los Angeles, CA"
30325,"Denver, CO",34252,"Pasco/Kennewick/Richland, WA"
30325,"Denver, CO",34794,"St. George, UT"
30285,"Durango, CO",30466,"Phoenix, AZ"
31921,"Grand Junction, CO",30466,"Phoenix, AZ"
30466,"Phoenix, AZ",30285,"Durango, CO"
30466,"Phoenix, AZ",31921,"Grand Junction, CO"
30325,"Denver, CO",34674,"Santa Fe, NM"
34674,"Santa Fe, NM",30325,"Denver, CO"
30272,"Alamosa, CO",30325,"Denver, CO"
30325,"Denver, CO",34288,"Pueblo, CO"
34288,"Pueblo, CO",30325,"Denver, CO"
30325,"Denver, CO",30272,"Alamosa, CO"
34614,"Salt Lake City, UT",31921,"Grand Junction, CO"
32280,"Idaho Falls, ID",30325,"Denver, CO"
30325,"Denver, CO",32280,"Idaho Falls, ID"
30194,"Dallas/Fort Worth, TX",31921,"Grand Junction, CO"
30285,"Durango, CO",30194,"Dallas/Fort Worth, TX"
30194,"Dallas/Fort Worth, TX",30285,"Durango, CO"
30372,"Aspen, CO",30325,"Denver, CO"
30325,"Denver, CO",30372,"Aspen, CO"
