AIRCRAFT_TYPE,AIRCRAFT_CONFIG,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,RAMP_TO_RAMP,AIR_TIME,DISTANCE_GROUP,CLASS
638,1,20210,79,66,0,0,128,99,2,F
675,1,11118,50,45,0,0,72,53,1,F
675,1,11118,50,47,0,0,62,45,1,F
675,1,11118,50,43,0,0,157,141,3,F
675,1,12350,50,44,0,0,113,97,2,F
675,1,12350,50,48,1,0,164,120,2,F
405,1,27000,114,88,0,0,535,436,1,F
405,1,27000,114,94,0,0,617,526,1,F
675,1,10000,50,47,0,0,144,124,2,F
675,1,10000,50,47,0,0,50,23,1,F
675,1,10000,50,47,0,0,170,136,2,F
675,1,10000,50,49,0,0,149,127,2,F
622,2,79755,0,0,18239,5737,164,138,3,G
691,2,108025,0,0,32891,3787,104,86,2,G
622,2,79755,0,0,25727,0,148,123,3,G
622,2,79755,0,0,14991,218,87,60,1,G
691,2,108025,0,0,66035,0,94,57,1,G
694,1,79000,300,267,0,0,343,309,2,F
699,1,98300,362,322,428,0,329,274,2,F
694,1,79000,300,267,0,0,536,422,4,F
698,1,68892,264,251,188,0,211,179,2,F
888,1,98180,360,356,70,0,204,174,2,F
614,1,81740,320,287,0,194,144,108,1,F
631,1,35220,140,133,0,0,286,241,3,F
631,1,35220,140,122,0,0,206,176,2,F
631,1,37480,140,125,0,0,84,38,1,F
631,1,37480,140,124,0,0,78,36,1,F
673,1,30400,152,87,0,0,134,83,1,F
673,1,30400,152,91,0,0,236,191,2,F
673,1,30400,152,146,0,0,328,287,2,F
673,1,30400,152,138,0,0,282,227,2,F
629,1,13500,50,0,0,0,169,129,2,F
631,1,36480,139,73,0,0,112,73,1,F
673,1,30400,152,64,0,0,130,76,1,F
631,1,37480,140,0,0,0,242,196,2,F
673,1,30400,152,65,0,0,204,161,2,F
631,1,37480,140,96,0,0,440,394,3,F
673,1,30400,152,145,0,0,308,243,2,F
631,1,37480,140,108,0,0,223,178,2,F
694,1,72337,300,223,375,2511,416,310,3,F
694,1,72444,300,112,106,0,326,294,3,F
614,1,77848,332,314,0,0,471,413,3,F
694,1,70337,300,275,1391,2529,338,296,3,F
698,1,66423,256,244,0,2664,491,440,4,F
614,1,85088,332,322,0,0,371,334,3,F
694,1,73424,300,269,46,0,271,230,2,F
614,1,84704,332,180,0,0,139,107,1,F
614,1,82724,332,318,33,1852,368,328,3,F
694,1,73244,300,205,0,0,276,241,2,F
698,1,71109,256,243,104,3055,426,385,4,F
694,1,73314,300,250,114,0,217,182,2,F
614,1,83719,332,273,0,0,271,236,2,F
698,1,70764,256,211,19,957,536,450,4,F
694,1,73634,300,255,62,0,238,205,2,F
694,1,73000,300,220,4,0,322,286,3,F
614,1,78004,332,149,20,0,177,136,1,F
698,1,58924,256,166,0,698,214,175,2,F
698,1,69419,256,243,1,1532,422,381,4,F
694,1,59414,300,228,7,0,208,172,2,F
619,1,64400,286,217,0,0,214,166,2,F
614,1,86800,350,49,173,0,135,101,1,F
619,1,64400,286,165,190,0,401,363,3,F
