"code","long","lat"
"02301",-71.04,42.07
"02302",-70.99,42.08
"02303",-71.01,42.08
"02304",-71.01,42.06
"02305",-71.01,42.06
"02322",-71.04,42.12
"02324",-70.97,41.97
"02325",-70.95,41.98
"02327",-70.84,42.04
"02330",-70.76,41.87
"02331",-70.68,42.02
"02332",-70.71,42.04
"02333",-70.94,42.03
"02334",-71.08,42.06
"02337",-70.96,42.01
"02338",-70.86,41.99
"02339",-70.85,42.12
"02340",-70.81,42.11
"02341",-70.87,42.05
"02343",-71.00,42.14
"02344",-70.95,41.90
"02345",-70.55,41.91
"02346",-70.87,41.87
"02347",-70.95,41.83
"02348",-70.94,41.87
"02349",-70.91,41.87
"02350",-70.84,42.02
"02351",-70.95,42.11
"02355",-70.77,41.92
"02356",-71.12,42.05
"02357",-71.07,42.06
"02358",-70.79,42.09
"02359",-70.80,42.06
"02360",-70.63,41.87
"02361",-70.66,41.95
"02362",-70.65,41.92
"02364",-70.74,41.98
"02366",-70.74,41.84
"02367",-70.80,41.96
"02368",-71.05,42.17
"02370",-70.91,42.13
"02375",-71.10,42.01
"02379",-71.02,42.02
"02381",-70.56,41.93
"02382",-70.93,42.08
"02420",-71.21,42.45
"02421",-71.23,42.43
"02445",-71.13,42.32
"02446",-71.12,42.34
"02447",-71.12,42.33
"02451",-71.25,42.39
"02452",-71.21,42.39
"02453",-71.24,42.36
"02454",-71.23,42.37
"02455",-71.25,42.41
"02456",-71.18,42.36
"02457",-71.26,42.29
"02458",-71.18,42.35
"02459",-71.19,42.31
"02460",-71.20,42.35
"02461",-71.20,42.31
"02462",-71.25,42.33
"02464",-71.21,42.31
"02465",-71.22,42.34
"02466",-71.24,42.34
"02467",-71.16,42.31
"02468",-71.23,42.32
"02471",-71.15,42.37
"02472",-71.17,42.36
"02474",-71.15,42.42
"02475",-71.18,42.42
"02476",-71.17,42.41
"02477",-71.15,42.37
"02478",-71.17,42.39
"02479",-71.19,42.38
"02481",-71.27,42.31
"02482",-71.29,42.29
"02492",-71.24,42.27
"02493",-71.29,42.35
"02494",-71.23,42.29
"02495",-71.20,42.36
"02532",-70.56,41.72
"02534",-70.61,41.66
"02535",-70.73,41.35
"02536",-70.56,41.59
"02537",-70.44,41.72
"02538",-70.65,41.77
"02539",-70.54,41.37
"02540",-70.62,41.57
"02541",-70.61,41.55
"02542",-70.55,41.65
"02543",-70.66,41.52
"02552",-70.73,41.34
"02553",-70.61,41.69
"02554",-70.06,41.28
"02556",-70.62,41.63
"02557",-70.55,41.45
"02558",-70.66,41.74
"02559",-70.61,41.68
"02561",-70.53,41.77
"02562",-70.52,41.78
"02563",-70.48,41.72
"02564",-69.96,41.26
"02565",-70.64,41.63
"02568",-70.63,41.41
"02571",-70.69,41.77
"02573",-70.60,41.48
"02574",-70.63,41.58
"02575",-70.64,41.39
"02576",-70.76,41.77
"02584",-70.09,41.28
"02601",-70.29,41.65
"02630",-70.29,41.69
"02631",-70.06,41.74
"02632",-70.34,41.66
"02633",-69.98,41.68
"02634",-70.35,41.65
"02635",-70.43,41.62
"02637",-70.27,41.70
"02638",-70.19,41.73
"02639",-70.13,41.66
"02641",-70.16,41.74
"02642",-69.98,41.84
"02643",-69.96,41.78
"02644",-70.51,41.69
"02645",-70.05,41.70
"02646",-70.07,41.67
"02647",-70.30,41.63
"02648",-70.41,41.66
"02649",-70.49,41.61
"02650",-69.96,41.70
"02651",-69.98,41.85
"02652",-70.09,42.04
"02653",-69.96,41.76
"02655",-70.38,41.63
"02657",-70.19,42.06
"02659",-70.02,41.68
"02660",-70.15,41.71
"02661",-70.04,41.67
"02662",-69.98,41.75
"02663",-69.98,41.91
"02664",-70.19,41.67
"02666",-70.04,41.99
"02667",-70.01,41.92
"02668",-70.36,41.70
"02669",-70.00,41.68
"02670",-70.16,41.65
"02671",-70.11,41.67
"02672",-70.31,41.63
"02673",-70.24,41.65
"02675",-70.23,41.70
"02702",-71.06,41.78
"02703",-71.29,41.92
"02712",-71.23,41.95
"02713",-70.75,41.47
"02714",-70.94,41.59
"02715",-71.14,41.81
"02717",-70.98,41.75
"02718",-71.01,41.86
"02719",-70.87,41.64
"02720",-71.12,41.73
"02721",-71.14,41.67
"02722",-71.15,41.70
"02723",-71.12,41.69
"02724",-71.17,41.68
"02725",-71.17,41.72
"02726",-71.14,41.76
"02738",-70.76,41.70
"02739",-70.81,41.66
"02740",-70.94,41.63
"02741",-70.92,41.63
"02742",-70.92,41.63
"02743",-70.90,41.71
"02744",-70.91,41.60
"02745",-70.95,41.70
"02746",-70.94,41.66
"02747",-71.01,41.65
"02748",-70.98,41.55
"02760",-71.33,41.97
"02761",-71.33,41.98
"02762",-71.33,42.01
"02763",-71.30,41.97
"02764",-71.15,41.85
"02766",-71.18,41.96
"02767",-71.04,41.93
"02768",-71.05,41.93
"02769",-71.24,41.84
"02770",-70.84,41.75
"02771",-71.31,41.83
"02777",-71.21,41.75
"02779",-71.07,41.83
"02780",-71.11,41.91
"02783",-71.05,42.02
"02790",-71.08,41.61
"02791",-71.07,41.52
"02801",-71.12,41.55
"02802",-71.45,41.95
"02804",-71.77,41.43
"02806",-71.32,41.73
"02807",-71.57,41.17
"02808",-71.74,41.41
"02809",-71.26,41.68
"02812",-71.64,41.47
"02813",-71.66,41.39
"02814",-71.70,41.90
"02815",-71.67,41.76
"02816",-71.61,41.69
