Aircraft_Group,Aircraft_Type,Aircraft_Config,LineNUM
6,655,1,747
6,698,1,748
6,655,1,749
6,698,1,750
6,675,1,751
6,675,1,752
6,629,1,753
6,673,1,754
6,629,1,755
6,631,1,756
6,673,1,757
6,631,1,758
6,673,1,759
6,694,1,760
6,694,1,761
6,614,1,762
6,694,1,763
6,694,1,764
6,694,1,765
6,694,1,766
6,619,1,767
6,614,1,768
6,614,1,769
6,614,1,770
6,619,1,771
6,698,1,772
6,622,2,773
6,673,1,774
6,629,1,775
6,673,1,776
6,673,1,777
6,629,1,778
6,694,1,779
6,694,1,780
6,694,1,781
6,614,1,782
6,698,1,783
6,694,1,784
6,694,1,785
6,634,1,786
6,634,1,787
6,698,1,788
6,612,1,789
6,619,1,790
6,614,1,791
6,612,1,792
6,619,1,793
6,612,1,794
6,619,1,795
6,677,1,796
6,698,1,797
6,698,1,798
6,698,1,799
6,691,2,800
6,626,2,801
6,675,1,802
6,675,1,803
4,405,1,804
4,405,1,805
4,479,1,806
4,479,1,807
6,698,1,808
6,629,1,809
6,614,1,810
6,694,1,811
6,694,1,812
6,614,1,813
6,634,1,814
6,634,1,815
6,614,1,816
6,614,1,817
6,614,1,818
6,619,1,819
6,614,1,820
6,619,1,821
6,698,1,822
6,698,1,823
6,675,1,824
6,694,1,825
6,694,1,826
6,631,1,827
6,631,1,828
6,629,1,829
6,694,1,830
6,698,1,831
6,614,1,832
6,694,1,833
6,614,1,834
6,634,1,835
6,694,1,836
6,619,1,837
6,622,2,838
6,675,1,839
6,698,1,840
6,698,1,841
6,698,1,842
6,631,1,843
6,629,1,844
6,694,1,845
6,614,1,846
6,614,1,847
6,614,1,848
6,614,1,849
6,694,1,850
6,634,1,851
6,698,1,852
6,694,1,853
6,698,1,854
6,694,1,855
6,698,1,856
6,694,1,857
6,698,1,858
6,698,1,859
6,698,1,860
6,698,1,861
6,622,2,862
6,629,1,863
6,694,1,864
6,614,1,865
6,614,1,866
6,614,1,867
6,698,1,868
6,614,1,869
6,614,1,870
6,614,1,871
6,619,1,872
6,614,1,873
6,699,1,874
6,699,1,875
6,673,1,876
6,629,1,877
6,673,1,878
6,614,1,879
6,614,1,880
6,634,1,881
6,614,1,882
6,677,1,883
6,694,1,884
6,694,1,885
7,732,2,886
6,675,1,887
6,675,1,888
6,675,1,889
6,673,1,890
6,673,1,891
8,888,1,892
6,629,1,893
6,614,1,894
6,694,1,895
6,698,1,896
6,614,1,897
6,614,1,898
6,677,1,899
6,694,1,900
6,694,1,901
6,698,1,902
6,698,1,903
6,698,1,904
6,698,1,905
6,622,2,906
6,622,2,907
6,622,2,908
7,732,2,909
6,622,2,910
6,675,1,911
6,675,1,912
4,458,1,913
4,458,1,914
6,622,1,915
6,622,1,916
6,631,1,917
6,673,1,918
6,631,1,919
6,673,1,920
6,631,1,921
6,673,1,922
6,698,1,923
6,634,1,924
6,634,1,925
6,634,1,926
6,694,1,927
6,698,1,928
6,614,1,929
6,634,1,930
6,634,1,931
6,619,1,932
6,698,1,933
6,694,1,934
6,698,1,935
6,694,1,936
6,675,1,937
6,631,1,938
6,673,1,939
6,631,1,940
6,673,1,941
6,631,1,942
6,634,1,943
6,614,1,944
6,698,1,945
6,698,1,946
6,634,1,947
6,614,1,948
6,698,1,949
6,694,1,950
6,694,1,951
6,694,1,952
6,634,1,953
6,614,1,954
6,677,1,955
6,675,1,956
6,675,1,957
6,675,1,958
6,691,2,959
6,691,2,960
6,691,2,961
6,691,2,962
6,691,2,963
6,631,1,964
6,631,1,965
6,673,1,966
6,698,1,967
6,698,1,968
6,698,1,969
6,698,1,970
6,634,1,971
6,614,1,972
6,698,1,973
6,634,1,974
8,889,1,975
6,698,1,976
6,614,1,977
6,698,1,978
8,889,1,979
6,694,1,980
6,677,1,981
6,677,1,982
6,677,1,983
6,677,1,984
6,677,1,985
6,698,1,986
6,622,2,987
6,622,2,988
6,691,2,989
6,631,1,990
6,631,1,991
6,631,1,992
6,631,1,993
6,673,1,994
6,673,1,995
6,629,1,996
6,631,1,997
6,673,1,998
6,673,1,999
6,631,1,1000
6,694,1,1001
6,694,1,1002
6,694,1,1003
6,694,1,1004
6,698,1,1005
6,614,1,1006
6,698,1,1007
6,694,1,1008
6,694,1,1009
6,694,1,1010
6,694,1,1011
6,694,1,1012
6,614,1,1013
6,694,1,1014
6,694,1,1015
6,698,1,1016
8,888,1,1017
6,631,1,1018
6,629,1,1019
6,673,1,1020
6,629,1,1021
6,631,1,1022
6,614,1,1023
6,694,1,1024
6,614,1,1025
6,698,1,1026
6,694,1,1027
6,698,1,1028
6,634,1,1029
6,634,1,1030
6,698,1,1031
6,698,1,1032
6,698,1,1033
6,698,1,1034
6,694,1,1035
6,694,1,1036
6,614,1,1037
6,612,1,1038
6,614,1,1039
6,614,1,1040
6,614,1,1041
6,677,1,1042
4,416,2,1043
