ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC,LineNUM
13485,1348502,MSN,45,11292,1129202,DEN,82,378
14492,1449202,RDU,36,11292,1129202,DEN,82,379
14683,1468303,SAT,74,11292,1129202,DEN,82,380
11292,1129202,DEN,82,10620,1062002,BIL,84,381
11292,1129202,DEN,82,11540,1154003,ELP,74,382
11193,1119302,CVG,52,11292,1129202,DEN,82,383
11292,1129202,DEN,82,11193,1119302,CVG,52,384
11292,1129202,DEN,82,14869,1486903,SLC,87,385
11298,1129804,DFW,74,11292,1129202,DEN,82,386
10849,1084903,BZN,84,11292,1129202,DEN,82,387
11292,1129202,DEN,82,10849,1084903,BZN,84,388
11292,1129202,DEN,82,13487,1348702,MSP,63,389
11292,1129202,DEN,82,14730,1473003,SDF,52,390
13367,1336703,MLI,41,11292,1129202,DEN,82,391
14730,1473003,SDF,52,11292,1129202,DEN,82,392
10140,1014003,ABQ,86,11292,1129202,DEN,82,393
10279,1027903,AMA,74,11292,1129202,DEN,82,394
10849,1084903,BZN,84,11292,1129202,DEN,82,395
11292,1129202,DEN,82,10279,1027903,AMA,74,396
11292,1129202,DEN,82,10849,1084903,BZN,84,397
11292,1129202,DEN,82,11193,1119302,CVG,52,398
11292,1129202,DEN,82,11267,1126702,DAY,44,399
11292,1129202,DEN,82,11986,1198603,GRR,43,400
11292,1129202,DEN,82,12896,1289605,LBB,74,401
11292,1129202,DEN,82,13502,1350202,MTJ,82,402
11292,1129202,DEN,82,13891,1389101,ONT,91,403
11292,1129202,DEN,82,14107,1410702,PHX,81,404
11292,1129202,DEN,82,14262,1426204,PSP,91,405
11292,1129202,DEN,82,14489,1448902,RDM,92,406
11292,1129202,DEN,82,14683,1468303,SAT,74,407
11292,1129202,DEN,82,15370,1537002,TUL,73,408
11423,1142304,DSM,61,11292,1129202,DEN,82,409
12892,1289205,LAX,91,11921,1192102,GJT,82,410
12896,1289605,LBB,74,11292,1129202,DEN,82,411
13502,1350202,MTJ,82,11292,1129202,DEN,82,412
13891,1389101,ONT,91,11292,1129202,DEN,82,413
14107,1410702,PHX,81,11292,1129202,DEN,82,414
14457,1445702,RAP,67,11292,1129202,DEN,82,415
10800,1080003,BUR,91,11292,1129202,DEN,82,416
10821,1082104,BWI,35,11292,1129202,DEN,82,417
11057,1105703,CLT,36,11292,1129202,DEN,82,418
11292,1129202,DEN,82,10397,1039705,ATL,34,419
11292,1129202,DEN,82,11618,1161802,EWR,21,420
11292,1129202,DEN,82,13198,1319801,MCI,64,421
11292,1129202,DEN,82,14262,1426204,PSP,91,422
13851,1385103,OKC,73,11292,1129202,DEN,82,423
13930,1393004,ORD,41,11292,1129202,DEN,82,424
14262,1426204,PSP,91,11292,1129202,DEN,82,425
14492,1449202,RDU,36,11292,1129202,DEN,82,426
10140,1014003,ABQ,86,11292,1129202,DEN,82,427
10257,1025702,ALB,22,11292,1129202,DEN,82,428
10397,1039705,ATL,34,11292,1129202,DEN,82,429
10529,1052904,BDL,11,11292,1129202,DEN,82,430
11292,1129202,DEN,82,10994,1099402,CHS,37,431
11292,1129202,DEN,82,12339,1233904,IND,42,432
11292,1129202,DEN,82,12954,1295403,LGB,91,433
11292,1129202,DEN,82,13198,1319801,MCI,64,434
11292,1129202,DEN,82,13495,1349503,MSY,72,435
11292,1129202,DEN,82,13495,1349503,MSY,72,436
11292,1129202,DEN,82,13871,1387102,OMA,65,437
11292,1129202,DEN,82,13891,1389101,ONT,91,438
11292,1129202,DEN,82,13931,1393102,ORF,38,439
