ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
CO,8,Colorado,MI,26,Michigan,319
IA,19,Iowa,CO,8,Colorado,320
CO,8,Colorado,CO,8,Colorado,321
CO,8,Colorado,CO,8,Colorado,322
CO,8,Colorado,CO,8,Colorado,323
CO,8,Colorado,MT,30,Montana,324
CO,8,Colorado,OR,41,Oregon,325
CO,8,Colorado,TX,48,Texas,326
CA,6,California,CO,8,Colorado,327
CO,8,Colorado,CO,8,Colorado,328
CO,8,Colorado,CO,8,Colorado,329
CO,8,Colorado,TX,48,Texas,330
MT,30,Montana,CO,8,Colorado,331
IL,17,Illinois,CO,8,Colorado,332
CA,6,California,CO,8,Colorado,333
AR,5,Arkansas,CO,8,Colorado,334
GA,13,Georgia,CO,8,Colorado,335
KY,21,Kentucky,CO,8,Colorado,336
VA,51,Virginia,CO,8,Colorado,337
CO,8,Colorado,GA,13,Georgia,338
CO,8,Colorado,MA,25,Massachusetts,339
CO,8,Colorado,VA,51,Virginia,340
CO,8,Colorado,WA,53,Washington,341
CO,8,Colorado,KS,20,Kansas,342
CO,8,Colorado,NC,37,North Carolina,343
CO,8,Colorado,CA,6,California,344
CO,8,Colorado,FL,12,Florida,345
CO,8,Colorado,AZ,4,Arizona,346
OR,41,Oregon,CO,8,Colorado,347
NJ,34,New Jersey,CO,8,Colorado,348
WA,53,Washington,CO,8,Colorado,349
MI,26,Michigan,CO,8,Colorado,350
KS,20,Kansas,CO,8,Colorado,351
NV,32,Nevada,CO,8,Colorado,352
FL,12,Florida,CO,8,Colorado,353
AZ,4,Arizona,CO,8,Colorado,354
ID,16,Idaho,CO,8,Colorado,355
CO,8,Colorado,NM,35,New Mexico,356
CO,8,Colorado,MD,24,Maryland,357
CO,8,Colorado,SC,45,South Carolina,358
CO,8,Colorado,OH,39,Ohio,359
CO,8,Colorado,WA,53,Washington,360
CO,8,Colorado,KY,21,Kentucky,361
CO,8,Colorado,UT,49,Utah,362
WA,53,Washington,CO,8,Colorado,363
OR,41,Oregon,CO,8,Colorado,364
CA,6,California,CO,8,Colorado,365
WA,53,Washington,CO,8,Colorado,366
CA,6,California,CO,8,Colorado,367
OH,39,Ohio,CO,8,Colorado,368
CO,8,Colorado,AL,1,Alabama,369
CO,8,Colorado,OH,39,Ohio,370
CO,8,Colorado,MN,27,Minnesota,371
CO,8,Colorado,OK,40,Oklahoma,372
OK,40,Oklahoma,CO,8,Colorado,373
CO,8,Colorado,WI,55,Wisconsin,374
CO,8,Colorado,MN,27,Minnesota,375
CO,8,Colorado,NC,37,North Carolina,376
CO,8,Colorado,TX,48,Texas,377
WI,55,Wisconsin,CO,8,Colorado,378
NC,37,North Carolina,CO,8,Colorado,379
TX,48,Texas,CO,8,Colorado,380
CO,8,Colorado,MT,30,Montana,381
CO,8,Colorado,TX,48,Texas,382
KY,21,Kentucky,CO,8,Colorado,383
CO,8,Colorado,KY,21,Kentucky,384
CO,8,Colorado,UT,49,Utah,385
TX,48,Texas,CO,8,Colorado,386
MT,30,Montana,CO,8,Colorado,387
CO,8,Colorado,MT,30,Montana,388
CO,8,Colorado,MN,27,Minnesota,389
CO,8,Colorado,KY,21,Kentucky,390
IL,17,Illinois,CO,8,Colorado,391
KY,21,Kentucky,CO,8,Colorado,392
NM,35,New Mexico,CO,8,Colorado,393
TX,48,Texas,CO,8,Colorado,394
MT,30,Montana,CO,8,Colorado,395
CO,8,Colorado,TX,48,Texas,396
CO,8,Colorado,MT,30,Montana,397
CO,8,Colorado,KY,21,Kentucky,398
CO,8,Colorado,OH,39,Ohio,399
CO,8,Colorado,MI,26,Michigan,400
CO,8,Colorado,TX,48,Texas,401
CO,8,Colorado,CO,8,Colorado,402
CO,8,Colorado,CA,6,California,403
CO,8,Colorado,AZ,4,Arizona,404
CO,8,Colorado,CA,6,California,405
CO,8,Colorado,OR,41,Oregon,406
CO,8,Colorado,TX,48,Texas,407
CO,8,Colorado,OK,40,Oklahoma,408
IA,19,Iowa,CO,8,Colorado,409
CA,6,California,CO,8,Colorado,410
TX,48,Texas,CO,8,Colorado,411
CO,8,Colorado,CO,8,Colorado,412
CA,6,California,CO,8,Colorado,413
AZ,4,Arizona,CO,8,Colorado,414
SD,46,South Dakota,CO,8,Colorado,415
CA,6,California,CO,8,Colorado,416
MD,24,Maryland,CO,8,Colorado,417
NC,37,North Carolina,CO,8,Colorado,418
CO,8,Colorado,GA,13,Georgia,419
CO,8,Colorado,NJ,34,New Jersey,420
CO,8,Colorado,MO,29,Missouri,421
CO,8,Colorado,CA,6,California,422
OK,40,Oklahoma,CO,8,Colorado,423
IL,17,Illinois,CO,8,Colorado,424
CA,6,California,CO,8,Colorado,425
NC,37,North Carolina,CO,8,Colorado,426
NM,35,New Mexico,CO,8,Colorado,427
NY,36,New York,CO,8,Colorado,428
GA,13,Georgia,CO,8,Colorado,429
CT,9,Connecticut,CO,8,Colorado,430
CO,8,Colorado,SC,45,South Carolina,431
CO,8,Colorado,IN,18,Indiana,432
CO,8,Colorado,CA,6,California,433
CO,8,Colorado,MO,29,Missouri,434
CO,8,Colorado,LA,22,Louisiana,435
CO,8,Colorado,LA,22,Louisiana,436
CO,8,Colorado,NE,31,Nebraska,437
CO,8,Colorado,CA,6,California,438
CO,8,Colorado,VA,51,Virginia,439
CO,8,Colorado,TX,48,Texas,440
CO,8,Colorado,WA,53,Washington,441
CO,8,Colorado,CA,6,California,442
CO,8,Colorado,CA,6,California,443
CO,8,Colorado,AZ,4,Arizona,444
IN,18,Indiana,CO,8,Colorado,445
CA,6,California,CO,8,Colorado,446
LA,22,Louisiana,CO,8,Colorado,447
NE,31,Nebraska,CO,8,Colorado,448
CA,6,California,CO,8,Colorado,449
VA,51,Virginia,CO,8,Colorado,450
NM,35,New Mexico,CO,8,Colorado,451
AL,1,Alabama,CO,8,Colorado,452
OH,39,Ohio,CO,8,Colorado,453
CO,8,Colorado,NM,35,New Mexico,454
CO,8,Colorado,TN,47,Tennessee,455
CO,8,Colorado,TX,48,Texas,456
CO,8,Colorado,TN,47,Tennessee,457
CO,8,Colorado,OK,40,Oklahoma,458
CO,8,Colorado,AR,5,Arkansas,459
TX,48,Texas,CO,8,Colorado,460
IA,19,Iowa,CO,8,Colorado,461
TN,47,Tennessee,CO,8,Colorado,462
MN,27,Minnesota,CO,8,Colorado,463
LA,22,Louisiana,CO,8,Colorado,464
NE,31,Nebraska,CO,8,Colorado,465
TX,48,Texas,CO,8,Colorado,466
AR,5,Arkansas,CO,8,Colorado,467
IA,19,Iowa,CO,8,Colorado,468
CO,8,Colorado,IA,19,Iowa,469
CO,8,Colorado,IN,18,Indiana,470
IN,18,Indiana,CO,8,Colorado,471
MN,27,Minnesota,CO,8,Colorado,472
MT,30,Montana,CO,8,Colorado,473
CO,8,Colorado,MT,30,Montana,474
CO,8,Colorado,MO,29,Missouri,475
CO,8,Colorado,LA,22,Louisiana,476
CO,8,Colorado,AZ,4,Arizona,477
MO,29,Missouri,CO,8,Colorado,478
LA,22,Louisiana,CO,8,Colorado,479
AZ,4,Arizona,CO,8,Colorado,480
IL,17,Illinois,CO,8,Colorado,481
CA,6,California,CO,8,Colorado,482
CO,8,Colorado,CA,6,California,483
CA,6,California,CO,8,Colorado,484
CO,8,Colorado,TX,48,Texas,485
TX,48,Texas,CO,8,Colorado,486
NM,35,New Mexico,CO,8,Colorado,487
CO,8,Colorado,NM,35,New Mexico,488
CO,8,Colorado,TX,48,Texas,489
TX,48,Texas,CO,8,Colorado,490
CO,8,Colorado,WA,53,Washington,491
