ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,Origin,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,Dest,DEST_WAC
10372,1037203,ASE,82,14771,1477102,SFO,91
11447,1144703,DVL,66,11292,1129202,DEN,82
13029,1302902,LNK,65,11292,1129202,DEN,82
10627,1062702,BIS,66,11292,1129202,DEN,82
11292,1129202,DEN,82,10627,1062702,BIS,66
11109,1110902,COS,82,13244,1324402,MEM,54
12094,1209402,HDN,82,11122,1112203,CPR,88
13244,1324402,MEM,54,11109,1110902,COS,82
11292,1129202,DEN,82,14457,1445702,RAP,67
11292,1129202,DEN,82,11638,1163805,FAT,91
14698,1469802,SBP,91,11292,1129202,DEN,82
14771,1477102,SFO,91,10372,1037203,ASE,82
13158,1315803,MAF,74,11292,1129202,DEN,82
12266,1226603,IAH,74,13502,1350202,MTJ,82
13502,1350202,MTJ,82,12266,1226603,IAH,74
11292,1129202,DEN,82,14698,1469802,SBP,91
12266,1226603,IAH,74,10372,1037203,ASE,82
11292,1129202,DEN,82,12758,1275803,KOA,2
11292,1129202,DEN,82,13830,1383002,OGG,2
12758,1275803,KOA,2,11292,1129202,DEN,82
13830,1383002,OGG,2,11292,1129202,DEN,82
11292,1129202,DEN,82,13158,1315803,MAF,74
11122,1112203,CPR,88,12094,1209402,HDN,82
11109,1110902,COS,82,12266,1226603,IAH,74
11292,1129202,DEN,82,10950,1095002,CEZ,82
11413,1141304,DRO,82,10140,1014003,ABQ,86
10372,1037203,ASE,82,12266,1226603,IAH,74
10140,1014003,ABQ,86,10272,1027203,ALS,82
10272,1027203,ALS,82,10140,1014003,ABQ,86
10950,1095002,CEZ,82,11292,1129202,DEN,82
11292,1129202,DEN,82,13029,1302902,LNK,65
11503,1150303,EGE,82,11298,1129804,DFW,74
13303,1330303,MIA,33,11292,1129202,DEN,82
11292,1129202,DEN,82,11637,1163703,FAR,66
11298,1129804,DFW,74,11503,1150303,EGE,82
10372,1037203,ASE,82,11298,1129804,DFW,74
11298,1129804,DFW,74,10372,1037203,ASE,82
13502,1350202,MTJ,82,14107,1410702,PHX,81
14107,1410702,PHX,81,13502,1350202,MTJ,82
11292,1129202,DEN,82,11503,1150303,EGE,82
11503,1150303,EGE,82,11292,1129202,DEN,82
11292,1129202,DEN,82,12156,1215603,HLN,84
12156,1215603,HLN,84,11292,1129202,DEN,82
12519,1251902,JMS,66,11292,1129202,DEN,82
11292,1129202,DEN,82,12173,1217302,HNL,2
12173,1217302,HNL,2,11292,1129202,DEN,82
11292,1129202,DEN,82,10257,1025702,ALB,22
11109,1110902,COS,82,13204,1320402,MCO,33
11109,1110902,COS,82,14107,1410702,PHX,81
13204,1320402,MCO,33,11109,1110902,COS,82
14107,1410702,PHX,81,11109,1110902,COS,82
11292,1129202,DEN,82,12217,1221702,HSV,51
12217,1221702,HSV,51,11292,1129202,DEN,82
11637,1163703,FAR,66,11292,1129202,DEN,82
11292,1129202,DEN,82,14534,1453402,RIW,88
14534,1453402,RIW,88,11292,1129202,DEN,82
11711,1171102,FMN,86,11292,1129202,DEN,82
11292,1129202,DEN,82,11711,1171102,FMN,86
11292,1129202,DEN,82,14120,1412002,PIR,67
13930,1393004,ORD,41,10372,1037203,ASE,82
10299,1029904,ANC,1,11292,1129202,DEN,82
14120,1412002,PIR,67,11292,1129202,DEN,82
10372,1037203,ASE,82,13930,1393004,ORD,41
11292,1129202,DEN,82,12255,1225502,HYS,62
11292,1129202,DEN,82,12519,1251902,JMS,66
11292,1129202,DEN,82,12888,1288802,LAR,88
12255,1225502,HYS,62,11292,1129202,DEN,82
10221,1022103,AIA,65,11292,1129202,DEN,82
10925,1092502,CDR,65,11292,1129202,DEN,82
11292,1129202,DEN,82,10221,1022103,AIA,65
11292,1129202,DEN,82,10925,1092502,CDR,65
11292,1129202,DEN,82,13200,1320002,MCK,65
11292,1129202,DEN,82,15582,1558202,VEL,87
13200,1320002,MCK,65,11292,1129202,DEN,82
15582,1558202,VEL,87,11292,1129202,DEN,82
11292,1129202,DEN,82,10299,1029904,ANC,1
11292,1129202,DEN,82,10561,1056103,BFL,91
11292,1129202,DEN,82,11865,1186502,GCC,88
11292,1129202,DEN,82,14543,1454302,RKS,88
11865,1186502,GCC,88,11292,1129202,DEN,82
14543,1454302,RKS,88,11292,1129202,DEN,82
11092,1109202,CNY,87,11292,1129202,DEN,82
11292,1129202,DEN,82,11092,1109202,CNY,87
11109,1110902,COS,82,14869,1486903,SLC,87
12892,1289205,LAX,91,10372,1037203,ASE,82
14252,1425202,PSC,93,11292,1129202,DEN,82
14794,1479403,SGU,87,11292,1129202,DEN,82
10372,1037203,ASE,82,12892,1289205,LAX,91
11292,1129202,DEN,82,14252,1425202,PSC,93
11292,1129202,DEN,82,14794,1479403,SGU,87
11413,1141304,DRO,82,14107,1410702,PHX,81
11921,1192102,GJT,82,14107,1410702,PHX,81
14107,1410702,PHX,81,11413,1141304,DRO,82
14107,1410702,PHX,81,11921,1192102,GJT,82
11292,1129202,DEN,82,14674,1467402,SAF,86
14674,1467402,SAF,86,11292,1129202,DEN,82
10272,1027203,ALS,82,11292,1129202,DEN,82
11292,1129202,DEN,82,14288,1428803,PUB,82
14288,1428803,PUB,82,11292,1129202,DEN,82
11292,1129202,DEN,82,10272,1027203,ALS,82
14869,1486903,SLC,87,11921,1192102,GJT,82
12280,1228002,IDA,83,11292,1129202,DEN,82
11292,1129202,DEN,82,12280,1228002,IDA,83
11298,1129804,DFW,74,11921,1192102,GJT,82
11413,1141304,DRO,82,11298,1129804,DFW,74
11298,1129804,DFW,74,11413,1141304,DRO,82
13232,1323202,MDW,41,11292,1129202,DEN,82
11292,1129202,DEN,82,13232,1323202,MDW,41
10372,1037203,ASE,82,11292,1129202,DEN,82
11292,1129202,DEN,82,10372,1037203,ASE,82
